Type,Facility License ID,Facility Name,Street Address,City,State,Zip,Phone Number,County,Inspection Type,Georeferenced Column
Private Inspection Facility,PIF009131,RALPH MARTINEZ SERVICE INC,264 PARK AVENUE,NEWARK,NJ,7107,9734853347,ESSEX,Auto Only,"264 PARK AVENUE
NEWARK, NJ 07107
(40.759033, -74.186567)"
Private Inspection Facility,PIF001155,GREENTREE AUTOMOTIVE LLC,650 N. BERLIN ROAD,LINDENWOLD,NJ,8021,8567841314,CAMDEN,Auto Only,"650 N. BERLIN ROAD
LINDENWOLD, NJ 08021
(39.829231, -74.995179)"
Private Inspection Facility,PIF010388,FACTORY TUNE AUTO INC,1321 N.BLACKHORSE PIKE,WILLIAMSTOWN,NJ,8094,8567289022,GLOUCESTER,Auto Only,"1321 N.BLACKHORSE PIKE
WILLIAMSTOWN, NJ 08094
(39.704945, -75.008527)"
Emission Repair Facility,ERF000674,T & D AUTO REPAIRS,116 TENNENT ROAD,MORGANVILLE,NJ,7751,7325918424,MONMOUTH,Auto Inspection and Emission Repair,"116 TENNENT ROAD
MORGANVILLE, NJ 07751
(40.374202, -74.258027)"
Emission Repair Facility,ERF001701,COLEMAN BUICK GMC CAD INC,100 RENAISSANCE BLVD,LAWRENCEVILLE,NJ,8648,6098958000,MERCER,Auto Only,"100 RENAISSANCE BLVD
LAWRENCEVILLE, NJ 08648
(40.289069, -74.687402)"
Private Inspection Facility,PIF009911,GEORGE'S TEXACO INC,305 NO MAIN ST,TOMS RIVER,NJ,8753,7322441557,OCEAN,Auto Only,"305 NO MAIN ST
TOMS RIVER, NJ 08753
(39.955591, -74.198705)"
Emission Repair Facility,ERF003146,CHARLIES CMPLT AUTO SRV LLC,349 E CLEMENTS BRG RD,RUNNEMEDE,NJ,8078,8563121624,CAMDEN,Auto Only,"349 E CLEMENTS BRG RD
RUNNEMEDE, NJ 08078
(39.853343, -75.06694)"
Private Inspection Facility,PIF003664,BILL'S SERVICE CENTER,2240 WOODBRIDGE AVE.,EDISON,NJ,8817,7329859821,MIDDLESEX,Auto Only,"2240 WOODBRIDGE AVE.
EDISON, NJ 08817
(40.501638, -74.391674)"
Emission Repair Facility,ERF000011,IDEAL SERVICE CENTER INC,594 KINDERKAMACK RD,RIVER EDGE,NJ,7661,2012612314,BERGEN,Auto Inspection and Emission Repair,"594 KINDERKAMACK RD
RIVER EDGE, NJ 07661
(40.927909, -74.034396)"
Private Inspection Facility,PIF001332,LSC MECHANICAL,387 MERCER STREET,HIGHSTOWN,NJ,8520,6094482688,MERCER,Auto Only,"387 MERCER STREET
HIGHSTOWN, NJ 08520
(40.265078, -74.532195)"
Private Inspection Facility,PIF005911,W AND D IMPORTS INC,40 ROUTE 130 W POB 1488,BURLINGTON,NJ,8016,6093862600,BURLINGTON,Auto Only,
Emission Repair Facility,ERF001916,CRAIGS AUTO INC,109 ROUTE 38,PEMBERTON,NJ,8068,6098944258,BURLINGTON,Auto Inspection and Emission Repair,
Private Inspection Facility,PIF000868,AVO-JACK CAR SERVICE,660 MAIN STREET,LODI,NJ,7644,2018450046,BERGEN,Auto Only,"660 MAIN STREET
LODI, NJ 07644
(40.894745, -74.078611)"
Private Inspection Facility,PIF011710,HIGH TECH AUTO SERVICE INC,146 DEAN DR,TENAFLY,NJ,7670,2018719393,BERGEN,Auto Only,"146 DEAN DR
TENAFLY, NJ 07670
(40.922023, -73.964531)"
Emission Repair Facility,ERF003427,LITHIA RAMSEY-M LLC,925 STATE ROUTE 17 SOUTH,RAMSEY,NJ,7446,2017605000,BERGEN,Auto Only,"925 STATE ROUTE 17 SOUTH
RAMSEY, NJ 07446
(41.065537, -74.131402)"
Emission Repair Facility,ERF003457,CHRISKAL INC,373 MANTOLOKING RD,BRICK,NJ,8723,7324779776,OCEAN,Auto Inspection and Emission Repair,"373 MANTOLOKING RD
BRICK, NJ 08723
(40.045151, -74.087926)"
Emission Repair Facility,ERF002444,EARHART AUTOMOTIVE L.L.C,75 BROAD STREET,FREEHOLD,NJ,7728,7327809408,MONMOUTH,Auto Only,"75 BROAD STREET
FREEHOLD, NJ 07728
(40.25748, -74.280841)"
Emission Repair Facility,ERF000445,B & E SERVICE INC.,86 KLOCKNER RD.,TRENTON,NJ,8619,6095865400,MERCER,Auto Inspection and Emission Repair,"86 KLOCKNER RD.
TRENTON, NJ 08619
(40.248561, -74.711055)"
Emission Repair Facility,ERF001403,LTL AUTOMOTIVE INC,40 SOUTH GASTON AVE,SOMERVILLE,NJ,8876,9087258834,SOMERSET,Auto Inspection and Emission Repair,"40 SOUTH GASTON AVE
SOMERVILLE, NJ 08876
(40.564831, -74.603747)"
State Inspection Facility,CIF000040,LODI,8 Mill Street,Lodi,NJ,7644,,BERGEN,Auto Only,"8 Mill Street
Lodi, NJ 07644
(40.881615, -74.076182)"
Emission Repair Facility,ERF002378,INTERCAR INC,92 HAMPTON HOUSE RD,NEWTON,NJ,7860,9733838300,SUSSEX,Auto Only,"92 HAMPTON HOUSE RD
NEWTON, NJ 07860
(41.088115, -74.73118)"
Private Inspection Facility,PIF001289,BRIDGE ST ATOM SVC CNTR LLC,736 FRENCHTOWN ROAD,MILFORD,NJ,8848,9089963731,HUNTERDON,Auto Only,"736 FRENCHTOWN ROAD
MILFORD, NJ 08848
(40.549201, -75.069741)"
Emission Repair Facility,ERF002156,FLEMINGTON CH BU GMC C LLC,211 RTE 202 & 31 SO,FLEMINGTON,NJ,8822,9087823331,HUNTERDON,Auto Only,
Private Inspection Facility,PIF003884,HIGHWAY TIRE DSTRBTRS INC,1661 RT 38,MT HOLLY,NJ,8060,6092675300,BURLINGTON,Auto Only,"1661 RT 38
MT HOLLY, NJ 08060
(39.982413, -74.781235)"
Emission Repair Facility,ERF001628,FOREIGN CARS OF MONMOUTH,579 RIVER RD,FAIR HAVEN,NJ,7704,7327472411,MONMOUTH,Auto Only,"579 RIVER RD
FAIR HAVEN, NJ 07704
(40.361123, -74.042569)"
Emission Repair Facility,ERF003241,CAR KINGS INC,133 MAIN AVE,WALLINGTON,NJ,7057,9734739300,BERGEN,Auto Inspection and Emission Repair,"133 MAIN AVE
WALLINGTON, NJ 07057
(40.854873, -74.111913)"
Emission Repair Facility,ERF000027,BELFIS AUTO TRUCK REP,9 FOREST AVENUE,PARAMUS,NJ,7652,9734715210,BERGEN,Auto Inspection and Emission Repair,"9 FOREST AVENUE
PARAMUS, NJ 07652
(40.916801, -74.054352)"
Private Inspection Facility,PIF001015,EDDIES TOWING LLC,62 YOUNGS RD,MERCERVILLE,NJ,8619,6095861367,MERCER,Diesel Only,"62 YOUNGS RD
MERCERVILLE, NJ 08619
(40.266244, -74.681109)"
Emission Repair Facility,ERF001757,ELITE AUTO SERVICE,4200 STRAND AVE,PENNSAUKEN,NJ,8109,8564861830,CAMDEN,Auto Only,"4200 STRAND AVE
PENNSAUKEN, NJ 08109
(39.934455, -75.078082)"
Emission Repair Facility,ERF000337,AMRCN TIRE&AUTO CARE OF CH,165 RT 206 & 35 MAPLE AVE,CHESTER,NJ,7930,9088797444,MORRIS,Auto Inspection and Emission Repair,
Emission Repair Facility,ERF002902,J R CORELLI ASSOCIATES INC,100 WHITE HORSE PIKE,OAKLYN,NJ,8107,8568543300,CAMDEN,Auto Only,"100 WHITE HORSE PIKE
OAKLYN, NJ 08107
(39.907105, -75.081054)"
Emission Repair Facility,ERF000685,MERKORDS GARAGE INC*,560 W COLOGNE PR,EGG HRBR,NJ,8215,6099653020,ATLANTIC,Auto Inspection and Emission Repair,
Emission Repair Facility,ERF003436,K&M TIRE&AUTO CENTER INC,440 RT 37 E,TOMS RIVER,NJ,8753,7322706000,OCEAN,Auto Only,"440 RT 37 E
TOMS RIVER, NJ 08753
(39.955404, -74.165072)"
Private Inspection Facility,PIF001059,BRADLEY AUTOMOTIVE INC,335 SHREWSBURY AVE,RED BANK,NJ,7701,7328424353,MONMOUTH,Auto Only,"335 SHREWSBURY AVE
RED BANK, NJ 07701
(40.339335, -74.075219)"
Emission Repair Facility,ERF003203,HUDSON GAS & AUTO SRV INC,8708 KENNEDY BLVD,N BERGEN,NJ,7047,2016620978,HUDSON,Auto Inspection and Emission Repair,"8708 KENNEDY BLVD
N BERGEN, NJ 07047
(40.808723, -74.007929)"
Private Inspection Facility,PIF000551,LAKEVIEW AUTO CORP,316 LAKEVIEW AVE,CLIFTON,NJ,7011,9735461125,PASSAIC,Auto Only,"316 LAKEVIEW AVE
CLIFTON, NJ 07011
(40.885854, -74.138357)"
Emission Repair Facility,ERF001967,BOBS AUTO SUPPLIES INC,1289 S DELSEA DR,VINELAND,NJ,8360,8566915222,CUMBERLAND,Auto Only,"1289 S DELSEA DR
VINELAND, NJ 08360
(39.468244, -75.04465)"
Emission Repair Facility,ERF003461,RYAN MOTORS OF DENVILLE LLC,840 RT 46,KENVIL,NJ,7847,9736270700,MORRIS,Auto Only,"840 RT 46
KENVIL, NJ 07847
(40.879302, -74.635888)"
Private Inspection Facility,PIF010522,"DARCOTT, INC",92 MAIN STREET,SPARTA,NJ,7871,9737297292,SUSSEX,Auto Only,"92 MAIN STREET
SPARTA, NJ 07871
(41.042408, -74.629488)"
Private Inspection Facility,PIF000467,MASSIMO MOTORWORKS LLC,208 CLINTON PLACE,LONG BRANCH,NJ,7740,7325719002,MONMOUTH,Auto Only,"208 CLINTON PLACE
LONG BRANCH, NJ 07740
(40.29854, -73.987873)"
Private Inspection Facility,PIF000047,SHANT SUNOCO,462 BROAD AVE,RIDGEFIELD,NJ,7657,2019459671,BERGEN,Auto Only,"462 BROAD AVE
RIDGEFIELD, NJ 07657
(40.829644, -74.010344)"
Private Inspection Facility,PIF000784,A N D SERVICE INC*,533 9TH ST,CARLSTADT,NJ,7072,2019359034,BERGEN,Diesel Only,"533 9TH ST
CARLSTADT, NJ 07072
(40.83761, -74.086208)"
Private Inspection Facility,PIF001026,LUBE XPRESS INC,1012 COX CROW ROAD,TOMS RIVER,NJ,8755,7322441888,OCEAN,Auto Only,"1012 COX CROW ROAD
TOMS RIVER, NJ 08755
(40.029614, -74.222783)"
Emission Repair Facility,ERF000498,COMMUNITY AUTO SERVICE INC,424 NEW MARKET RD,PISCATAWAY,NJ,8854,7327521131,MIDDLESEX,Auto Inspection and Emission Repair,"424 NEW MARKET RD
PISCATAWAY, NJ 08854
(40.579729, -74.459446)"
Private Inspection Facility,PIF008326,ROSSNAGLE SALES AND SERVICE,1165 US HIGHWAY 22,PHILLIPSBURG,NJ,8865,9084546512,WARREN,Auto Only,"1165 US HIGHWAY 22
PHILLIPSBURG, NJ 08865
(40.688809, -75.153617)"
Emission Repair Facility,ERF001372,CRAIGS SERVICE CENTER INC,1201 ROUTE 35,MIDDLETOWN,NJ,7748,7326715810,MONMOUTH,Auto Inspection and Emission Repair,"1201 ROUTE 35
MIDDLETOWN, NJ 07748
(40.398272, -74.112855)"
Private Inspection Facility,PIF003589,PASSARELLAS SUNOCO*,300 WHITE HORSE PIKE,WATERFORD,NJ,8089,8567676317,CAMDEN,Auto Only,"300 WHITE HORSE PIKE
WATERFORD, NJ 08089
(39.716388, -74.855361)"
Private Inspection Facility,PIF001715,DOMS GETTY INC,308 MERCER ST,HIGHTSTOWN,NJ,8520,6094484146,MERCER,Auto Only,"308 MERCER ST
HIGHTSTOWN, NJ 08520
(40.266341, -74.529409)"
Private Inspection Facility,PIF000735,ON SITE INSPECTION,505 BURNT MEADOW ROAD,HEWITT,NJ,7421,9738975533,PASSAIC,Diesel Only,"505 BURNT MEADOW ROAD
HEWITT, NJ 07421
(41.107036, -74.328547)"
Private Inspection Facility,PIF000813,J & N SERVICE CENTER INC,29 FRANKLIN AVE,NUTLEY,NJ,7110,9732359832,ESSEX,Auto Only,"29 FRANKLIN AVE
NUTLEY, NJ 07110
(40.809437, -74.166172)"
Private Inspection Facility,PIF008963,PIONEER TRUCK SALES CORP,PO BOX 261,SEWELL,NJ,8080,8565828888,GLOUCESTER,Auto and Diesel,
Emission Repair Facility,ERF002903,NJJJ ENTERPRISES LLC,578 ROUTE 18 NORTH,EAST BRUNSWICK,NJ,8816,7322541116,MIDDLESEX,Auto Inspection and Emission Repair,
Private Inspection Facility,PIF010936,CAMANO AUTO INC,615 EAST JERSEY STREET,ELIZABETH,NJ,7206,9083517175,UNION,Auto Only,"615 EAST JERSEY STREET
ELIZABETH, NJ 07206
(40.658222, -74.197327)"
Emission Repair Facility,ERF001515,NJ DOT BUREAU OF EQUIPMENT,999 PARKWAY AVE PO BOX 608,TRENTON,NJ,8625,6095302200,MERCER,Auto Only,"999 PARKWAY AVE PO BOX 608
TRENTON, NJ 08625
(40.255828, -74.792988)"
Emission Repair Facility,ERF002833,BUHLER AND BITTER INC,3290 STATE HWY35,HAZLET,NJ,7730,7322645000,MONMOUTH,Auto Only,"3290 STATE HWY35
HAZLET, NJ 07730
(40.422233, -74.190058)"
Private Inspection Facility,PIF008430,OFFSHORE GETTY INC,400 BAYSHORE RD,VILLAS,NJ,8251,6098865270,CAPE MAY,Auto Only,"400 BAYSHORE RD
VILLAS, NJ 08251
(39.03481, -74.933262)"
Emission Repair Facility,ERF003466,VAC'S AUTO SERVICE LLC,1099 STATE HWY RTE 12,FRENCHTOWN,NJ,8825,9089966956,HUNTERDON,Auto Inspection and Emission Repair,"1099 STATE HWY RTE 12
FRENCHTOWN, NJ 08825
(40.522581, -75.026132)"
Emission Repair Facility,ERF000572,AMPAT SERVICE,526 ALLWOOD ROAD,CLIFTON,NJ,7012,9734709131,PASSAIC,Auto Inspection and Emission Repair,"526 ALLWOOD ROAD
CLIFTON, NJ 07012
(40.843239, -74.159236)"
Private Inspection Facility,PIF001276,"HRAG MEINEKE 3, LLC.",811 MAIN AVENUE,PASSAIC,NJ,7055,9737777962,PASSAIC,Auto Only,"811 MAIN AVENUE
PASSAIC, NJ 07055
(40.864629, -74.129677)"
Private Inspection Facility,PIF000645,GATTUSOS ENTERPRISES INC,229 KINGS HWY,CLARKSBORO,NJ,8020,8564235757,GLOUCESTER,Auto Only,"229 KINGS HWY
CLARKSBORO, NJ 08020
(39.805027, -75.217983)"
Private Inspection Facility,PIF001249,CAR CARE CNTR OF NWRK LLC,313 W MARKET STREET,NEWARK,NJ,7103,9736228473,ESSEX,Auto Only,"313 W MARKET STREET
NEWARK, NJ 07103
(40.745131, -74.189246)"
Private Inspection Facility,PIF000792,NO JERSEY TRUCK CTR INC,236 RT 46 EAST,SADDLE BRK,NJ,7662,9734788802,BERGEN,Diesel Only,"236 RT 46 EAST
SADDLE BRK, NJ 07662
(40.888901, -74.095192)"
Private Inspection Facility,PIF001262,S & S SHELL INC,793 VAN HOUTEN AVENUE,CLIFTON,NJ,7013,9737792249,PASSAIC,Auto Only,"793 VAN HOUTEN AVENUE
CLIFTON, NJ 07013
(40.861656, -74.154359)"
Private Inspection Facility,PIF001977,BAYSHORE AUTO SERVICE INC*,81 RT 35,KEYPORT,NJ,7735,7327399376,MONMOUTH,Auto Only,"81 RT 35
KEYPORT, NJ 07735
(40.42985, -74.213898)"
Private Inspection Facility,PIF007122,FOREIGN AID INC,207 BELLEVUE AVE,UP MONTCLAIR,NJ,7043,9737461010,ESSEX,Auto Only,"207 BELLEVUE AVE
UP MONTCLAIR, NJ 07043
(40.840871, -74.206645)"
Emission Repair Facility,ERF002651,GNF OF COLONIA LLC,160 LAKE AVENUE,COLONIA,NJ,7067,7325742334,MIDDLESEX,Auto Inspection and Emission Repair,"160 LAKE AVENUE
COLONIA, NJ 07067
(40.606333, -74.310955)"
Private Inspection Facility,PIF009668,OLIVEIRA & SON INC,130 BLOOMFIELD AVE,BLOOMFIELD,NJ,7003,9734298137,ESSEX,Auto Only,"130 BLOOMFIELD AVE
BLOOMFIELD, NJ 07003
(40.77889, -74.189104)"
Private Inspection Facility,PIF000996,CINNAMINSON RIGGINS INC,1015 RTE 130 SOUTH,CINNAMINSON,NJ,8077,8568294656,BURLINGTON,Auto Only,"1015 RTE 130 SOUTH
CINNAMINSON, NJ 08077
(39.996974, -74.992698)"
Private Inspection Facility,PIF001085,MAPLE AVENUE AUTO INC,577 BROAD STREET,GLEN ROCK,NJ,7452,2016521144,BERGEN,Auto Only,"577 BROAD STREET
GLEN ROCK, NJ 07452
(40.967461, -74.126904)"
Private Inspection Facility,PIF004678,UNIONVILLE SERVICE CENTER I,2546 VAUXHALL RD,UNION,NJ,7083,9086880140,UNION,Auto Only,"2546 VAUXHALL RD
UNION, NJ 07083
(40.710959, -74.28132)"
Private Inspection Facility,PIF000964,JIM DESBIENS ATO SRV INC,395 PATERSON AVE,EAST RUTHERFOR,NJ,7073,2014608864,BERGEN,Auto Only,"395 PATERSON AVE
EAST RUTHERFOR, NJ 07073
(40.838753, -74.10036)"
Private Inspection Facility,PIF000707,MATTS ATO SRV CLIFTON LLC,150 SARGEANT AVENUE,CLIFTON,NJ,7013,9737787073,PASSAIC,Auto Only,"150 SARGEANT AVENUE
CLIFTON, NJ 07013
(40.864114, -74.155339)"
Private Inspection Facility,PIF001315,CHAUDHRY AUTO REPAIR LLC,654 EAGLE ROCK AVE,W ORANGE,NJ,7052,9733259845,ESSEX,Auto Only,"654 EAGLE ROCK AVE
W ORANGE, NJ 07052
(40.810109, -74.260038)"
Private Inspection Facility,PIF000837,TRUCKTECH PARTS & SRVC INC,13 AVENUE C,NEWARK,NJ,7114,9737990500,ESSEX,Diesel Only,"13 AVENUE C
NEWARK, NJ 07114
(40.719886, -74.172087)"
Private Inspection Facility,PIF009078,BURNS KULL INC,325 N RTE 73,MARLTON,NJ,8053,8569830600,BURLINGTON,Auto Only,"325 N RTE 73
MARLTON, NJ 08053
(39.898501, -74.931577)"
Private Inspection Facility,PIF001205,PHLSBURG EST HVY DTY CAR TR,1075 ROUTE 22 WEST,PHILLIPSBURG,NJ,8865,9084564500,WARREN,Diesel Only,"1075 ROUTE 22 WEST
PHILLIPSBURG, NJ 08865
(40.693714, -75.158413)"
Private Inspection Facility,PIF000756,HUDSON COUNTY MOTORS IN,290 SECAUCUS RD PO BOX 2611,SECAUCUS,NJ,7094,2018665570,HUDSON,Diesel Only,"290 SECAUCUS RD PO BOX 2611
SECAUCUS, NJ 07094
(40.773344, -74.058493)"
Private Inspection Facility,PIF001239,MATTHEY AUTOMOTIVE INC,100A W CRESCENT BLVD,COLLINGSWOOD,NJ,8108,8568542507,CAMDEN,Auto Only,"100A W CRESCENT BLVD
COLLINGSWOOD, NJ 08108
(39.920324, -75.087613)"
Private Inspection Facility,PIF001076,CARLOS' AUTO REPAIR,1045 SOUTH EAST BLVD,VINELAND,NJ,8360,8566912795,CUMBERLAND,Auto Only,"1045 SOUTH EAST BLVD
VINELAND, NJ 08360
(39.47106, -75.02703)"
Private Inspection Facility,PIF011700,WESTFIELD SERVICE CENTER IN,809 CENTRAL AVE,WESTFIELD,NJ,7090,9086544948,UNION,Auto Only,"809 CENTRAL AVE
WESTFIELD, NJ 07090
(40.644661, -74.33463)"
Private Inspection Facility,PIF009239,METUCHEN SERVICE CENTER INC,RT 27 LAKE AVE,METUCHEN,NJ,8840,7325488342,MIDDLESEX,Auto Only,
Private Inspection Facility,PIF006479,B A R E MOTOR CO INC,124 N BROADWAY,PITMAN,NJ,8071,8565899009,GLOUCESTER,Auto Only,"124 N BROADWAY
PITMAN, NJ 08071
(39.734652, -75.132946)"
Emission Repair Facility,ERF002258,GLEN RIDGE AUTO INC*,12 HERMAN ST,GLEN RIDGE,NJ,7028,9734291905,ESSEX,Auto Inspection and Emission Repair,"12 HERMAN ST
GLEN RIDGE, NJ 07028
(40.801764, -74.204539)"
Emission Repair Facility,ERF001892,PAUL MILLER PERFORMANCE LLC,1515 ROUTE 23 SOUTH,WAYNE,NJ,7470,9736966060,PASSAIC,Auto Only,
Private Inspection Facility,PIF001355,W CAMPBELL SC ATL CNTY LLC,564 W LEEDS AVE,ABSECON,NJ,8201,6096453889,ATLANTIC,Auto Only,"564 W LEEDS AVE
ABSECON, NJ 08201
(39.412814, -74.520064)"
Private Inspection Facility,PIF000892,BROAD ST ATO CTR LLC,313 BROAD STREET,NEWARK,NJ,7104,9734842188,ESSEX,Auto Only,"313 BROAD STREET
NEWARK, NJ 07104
(40.751064, -74.169644)"
Emission Repair Facility,ERF002753,JRM AUTO SERVICE INC,5209 KENNEDY BLVD,N BERGEN,NJ,7047,2018631414,HUDSON,Auto Only,"5209 KENNEDY BLVD
N BERGEN, NJ 07047
(40.784995, -74.022957)"
State Inspection Facility,CIF000048,WASHINGTON,Rte. 31 North,Washington,NJ,7882,,WARREN,Auto Only,
Private Inspection Facility,PIF002352,TONY'S AUTO SERVICE,4710 RT 130 NORTH,PENNSAUKEN,NJ,8109,8566610077,CAMDEN,Auto Only,"4710 RT 130 NORTH
PENNSAUKEN, NJ 08109
(39.952759, -75.062811)"
Emission Repair Facility,ERF000145,SELMONS SHELL,2231 S OLDEN AVE,TRENTON,NJ,8610,6095852730,MERCER,Auto Only,"2231 S OLDEN AVE
TRENTON, NJ 08610
(40.204072, -74.696837)"
Emission Repair Facility,ERF000206,J Q AUTOMOTIVE LLC,1050 BROAD ST,BLOOMFIELD,NJ,7003,9738939239,ESSEX,Auto Only,"1050 BROAD ST
BLOOMFIELD, NJ 07003
(40.833641, -74.180555)"
Private Inspection Facility,PIF004423,SPECIALTY AUTOMOTIVE INC,1874 HWY 88E,BRICK,NJ,8723,7328401150,OCEAN,Auto Only,
Private Inspection Facility,PIF000257,BRISCOE'S AUTO SERVICE INC.,250-B-LIVINGSTON ST.,NORTHVALE,NJ,7647,2017680660,BERGEN,Auto Only,"250-B-LIVINGSTON ST.
NORTHVALE, NJ 07647
(40.988008, -74.045474)"
Emission Repair Facility,ERF001010,BRIAN COWANS AUTO CTR LLC,22 FERRY RD,PENNSVILLE,NJ,8070,8566788686,SALEM,Auto Inspection and Emission Repair,"22 FERRY RD
PENNSVILLE, NJ 08070
(39.655111, -75.525147)"
Private Inspection Facility,PIF011467,BRIELLE SERVICENTER INC,424 HIGGINS AVE,BRIELLE,NJ,8730,7325286355,MONMOUTH,Auto Only,"424 HIGGINS AVE
BRIELLE, NJ 08730
(40.107114, -74.057641)"
Private Inspection Facility,PIF000831,INTER CITY TIRE & AUTO,777 DOWD AVE,ELIZABETH,NJ,7201,9083541200,UNION,Diesel Only,"777 DOWD AVE
ELIZABETH, NJ 07201
(40.673846, -74.19073)"
Private Inspection Facility,PIF000105,IMG INC,1449 STUYVESANT AVE,UNION,NJ,7083,9086888118,UNION,Auto Only,"1449 STUYVESANT AVE
UNION, NJ 07083
(40.705492, -74.261146)"
Emission Repair Facility,ERF002960,ADR TOWING INC,47 HWY 12,FLEMINGTON,NJ,8822,9087827553,HUNTERDON,Auto Only,"47 HWY 12
FLEMINGTON, NJ 08822
(40.501866, -74.863534)"
Private Inspection Facility,PIF011227,AVENEL ACTION AUTO INC,1233 RAHWAY AVE,AVENEL,NJ,7001,7326343433,MIDDLESEX,Auto Only,"1233 RAHWAY AVE
AVENEL, NJ 07001
(40.583526, -74.267593)"
Emission Repair Facility,ERF002199,LARSON FORD INC*,1150 OCEAN AVE,LAKEWOOD,NJ,8701,7323638100,OCEAN,Auto Only,"1150 OCEAN AVE
LAKEWOOD, NJ 08701
(40.083214, -74.172194)"
Emission Repair Facility,ERF000422,HOLIDAY SERVICE CTR INC,ROUTE 37 W & SUMNER AVENUE,TOMS RIVER,NJ,8755,7322409871,OCEAN,Auto Only,"ROUTE 37 W & SUMNER AVENUE
TOMS RIVER, NJ 08755
(39.979496, -74.2495)"
Emission Repair Facility,ERF001320,BOB HOPES AUTO REPAIR,903 ARENA DR,TRENTON,NJ,8610,6098885844,MERCER,Auto Inspection and Emission Repair,"903 ARENA DR
TRENTON, NJ 08610
(40.201994, -74.714029)"
Emission Repair Facility,ERF003040,MIDWAY TRNSMN&AUTO CNTR LLC,49 OLD YORK ROAD,BRIDGEWATER,NJ,8807,9085265380,SOMERSET,Auto Only,"49 OLD YORK ROAD
BRIDGEWATER, NJ 08807
(40.559028, -74.653767)"
Private Inspection Facility,PIF000597,WANAQUE SERVICE STATION INC,672 RINGWOOD AVENUE,WANAQUE,NJ,7465,9738394339,PASSAIC,Auto Only,"672 RINGWOOD AVENUE
WANAQUE, NJ 07465
(41.046835, -74.290449)"
Private Inspection Facility,PIF000363,PETE SMITH AUTO SERVICE LLC,4 PARK DRIVE,SHAMONG,NJ,8088,6092686580,BURLINGTON,Auto Only,"4 PARK DRIVE
SHAMONG, NJ 08088
(39.790822, -74.752663)"
Emission Repair Facility,ERF003149,TETERBORO AUTOMALL INC,469 RT 46E,LITTLE FERRY,NJ,7643,2014400222,BERGEN,Auto Only,
Emission Repair Facility,ERF002003,PASQUALES SERV STATION INC,520 JORALEMON STREET,BELLEVILLE,NJ,7109,9737599708,ESSEX,Auto Only,"520 JORALEMON STREET
BELLEVILLE, NJ 07109
(40.80135, -74.16457)"
Private Inspection Facility,PIF000778,FLEET TECH LLC,3 VAN DYKE RD,BRANCHBURG,NJ,8876,9082394811,SOMERSET,Diesel Only,"3 VAN DYKE RD
BRANCHBURG, NJ 08876
(40.56556, -74.687482)"
Emission Repair Facility,ERF000106,BRIDGEWATER NISSAN INC,1400 RT 22,BRIDGEWATER,NJ,8807,9087223600,SOMERSET,Auto Only,
Private Inspection Facility,PIF009420,CHARLES EBERS & SONS INC.,139 HAMBURG TPKE,BUTLER,NJ,7405,9738384692,MORRIS,Auto Only,"139 HAMBURG TPKE
BUTLER, NJ 07405
(41.013198, -74.356628)"
Emission Repair Facility,ERF000810,MERMON INC,4400 BERGEN TPK,NORTH BERGEN,NJ,7047,2018674156,HUDSON,Auto Inspection and Emission Repair,"4400 BERGEN TPK
NORTH BERGEN, NJ 07047
(40.78321, -74.033249)"
Emission Repair Facility,ERF001055,MAYO CLINIK INC*,165 MONMOUTH STREET,RED BANK,NJ,7701,7328428471,MONMOUTH,Auto Inspection and Emission Repair,"165 MONMOUTH STREET
RED BANK, NJ 07701
(40.348834, -74.073543)"
Private Inspection Facility,PIF000823,LARRC INC,97 FOSTER RD STE 4,MOORESTOWN,NJ,8057,8569149797,BURLINGTON,Diesel Only,"97 FOSTER RD STE 4
MOORESTOWN, NJ 08057
(39.97649, -74.989353)"
Private Inspection Facility,PIF000672,WEBERS AUTO ELECTRIC,517 BANK ST,BRIDGETON,NJ,8302,8564551862,CUMBERLAND,Auto Only,"517 BANK ST
BRIDGETON, NJ 08302
(39.442309, -75.222289)"
Emission Repair Facility,ERF000172,BENHAM'S SERVICE & GARAGE I,414 SPRINGFIELD AVE,BERKELEY HTS,NJ,7922,9084641395,UNION,Auto Inspection and Emission Repair,"414 SPRINGFIELD AVE
BERKELEY HTS, NJ 07922
(40.685313, -74.438854)"
Private Inspection Facility,PIF005384,ARLONG INC *,353 BLACKWOOD RD,LINDENWOLD,NJ,8021,8563464555,CAMDEN,Auto Only,
State Inspection Facility,CIF000034,SALEM,185 Woodstown Road,Salem,NJ,8079,,SALEM,Auto Only,"185 Woodstown Road
Salem, NJ 08079
(39.727303, -75.317994)"
Emission Repair Facility,ERF000527,THE PORT AUTH OF NY & NJ,777 JERSEY AVENUE,JERSEY CITY,NJ,7310,2012162340,HUDSON,Auto Only,"777 JERSEY AVENUE
JERSEY CITY, NJ 07310
(40.731254, -74.044463)"
Private Inspection Facility,PIF010185,LUUS AUTO REPAIR INC,327 BOUND BROOK ROAD,MIDDLESEX,NJ,8846,7329688986,MIDDLESEX,Auto Only,"327 BOUND BROOK ROAD
MIDDLESEX, NJ 08846
(40.584766, -74.480926)"
Private Inspection Facility,PIF001007,CAR KINGS INC,133 MAIN AVE,WALLINGTON,NJ,7057,9734739300,BERGEN,Auto Only,"133 MAIN AVE
WALLINGTON, NJ 07057
(40.854873, -74.111913)"
